rank,code,score,confidence,signals
1,000820,4.627879999999999,0.65,"['Positive momentum', 'Trend confirmed']"
2,000428,3.993385,0.65,"['Positive momentum', 'Trend confirmed']"
3,300981,3.993095,0.65,"['Positive momentum', 'Trend confirmed']"
4,002827,3.949695,0.85,"['Strong momentum', 'Trend confirmed']"
5,300996,3.9468300000000003,0.85,"['Strong momentum', 'Trend confirmed']"
6,603696,3.783865,0.65,"['Positive momentum', 'Trend confirmed']"
7,300605,3.7064800000000004,0.65,"['Positive momentum', 'Trend confirmed']"
8,600712,3.691215,0.65,"['Positive momentum', 'Trend confirmed']"
9,688369,3.6545699999999997,0.65,"['Positive momentum', 'Trend confirmed']"
10,002882,3.63802,0.65,"['Positive momentum', 'Trend confirmed']"
